caseid,person_id,arrest_date,dispos_date,treat,re_arrest,prior_arrests
35080,80,2012-11-16,2013-01-28,0,0,1
8373,80,2013-04-22,2013-05-26,1,0,2
25076,80,2013-07-17,2013-11-14,1,0,3
63166,82,2013-01-18,2013-04-01,0,0,1
53943,83,2012-10-22,2013-05-14,1,0,3
72110,84,2012-01-18,2012-10-30,0,1,2
85451,84,2012-04-15,2012-06-09,1,1,3
60507,84,2012-05-08,2012-10-29,1,1,4
39259,84,2012-08-03,2013-08-28,0,0,5
2617,85,2012-09-30,2012-11-03,1,0,1
36926,85,2013-05-07,2013-06-02,1,0,2
36817,86,2012-02-27,2012-03-02,0,0,2
30062,86,2012-07-12,2012-07-13,0,0,3
26334,87,2012-02-19,2012-04-28,1,0,7
73945,88,2012-11-04,2013-12-13,1,1,4
82238,88,2012-12-14,2013-02-23,1,0,5
11837,89,2013-05-13,2014-03-10,0,1,3
12598,89,2013-07-05,2014-06-11,1,0,4
81377,90,2013-02-21,2014-08-05,0,0,4
17791,91,2013-04-29,2013-11-11,1,0,4
34584,92,2012-10-07,2013-01-21,0,0,7
23140,93,2013-09-30,2014-01-13,0,0,4
10919,95,2012-05-29,2012-10-15,1,1,5
85770,95,2012-08-17,2012-08-28,1,0,6
35029,95,2013-07-06,2014-04-27,1,0,7
64563,96,2012-04-23,2013-05-31,0,1,4
72112,96,2013-01-08,2013-06-26,0,0,5
77287,96,2013-08-15,2013-12-09,1,0,6
77385,98,2012-01-23,2012-08-15,1,0,5
81087,100,2012-03-11,2012-06-12,1,0,5
49420,101,2012-03-16,2013-04-29,1,0,1
41162,102,2013-09-01,2013-09-07,0,0,3
63432,103,2013-06-25,2013-11-05,1,0,2
6702,104,2012-11-10,2012-12-30,1,0,1
655,104,2013-08-21,2014-01-24,0,0,2
63208,107,2012-05-27,2013-02-05,1,1,3
39603,107,2012-12-06,2013-02-04,0,0,4
4651,109,2013-04-05,2013-09-03,0,0,7
37392,112,2013-01-02,2013-05-16,0,0,1
11594,113,2012-04-27,2012-11-15,1,1,6
9611,113,2012-07-19,2012-10-08,0,0,7
92028,113,2013-04-24,2014-05-16,1,1,8
85898,113,2013-07-18,2014-07-29,1,0,9
18045,114,2012-04-10,2012-07-24,0,0,1
22268,115,2012-06-04,2013-03-07,0,1,3
71397,115,2012-08-18,2013-02-16,0,0,4
47095,115,2013-09-01,2014-02-27,1,0,5
86954,116,2012-04-06,2013-01-21,0,0,3
80098,116,2013-04-06,2013-04-19,0,0,4
60688,117,2012-12-02,2013-05-01,1,1,6
22059,117,2012-12-05,2013-02-26,1,0,7
28537,118,2012-09-05,2014-03-17,1,1,2
35546,118,2012-09-12,2013-01-03,0,0,3
85705,119,2012-06-08,2014-06-11,0,0,2
89876,120,2012-05-19,2012-06-16,1,0,4
25264,120,2013-09-07,2013-12-10,1,0,5
93300,121,2012-01-31,2012-05-17,0,1,2
7270,121,2012-04-18,2012-07-27,1,0,3
64322,125,2012-05-14,2014-03-08,0,1,3
49035,125,2012-09-04,2012-12-17,1,0,4
51301,126,2012-02-06,2012-04-01,0,0,5
43427,127,2013-01-26,2014-10-24,0,0,1
9088,128,2012-09-28,2014-04-06,0,0,2
25968,129,2013-01-08,2013-01-16,0,0,4
98176,129,2013-04-20,2013-04-29,1,1,5
97653,129,2013-04-24,2013-06-19,0,0,6
11475,131,2012-06-12,2012-11-20,1,0,0
31195,133,2012-03-18,2012-06-12,1,0,3
35966,133,2013-09-12,2014-02-19,0,0,4
32355,134,2012-03-26,2013-01-01,0,1,5
84861,134,2012-05-26,2012-07-29,1,0,6
77652,136,2013-06-02,2014-02-23,1,0,4
51680,138,2013-09-01,2014-04-18,0,0,2
36194,139,2012-12-02,2014-09-06,1,1,6
6970,139,2013-02-26,2013-03-09,1,0,7
72612,140,2012-02-12,2012-06-30,1,0,2
20794,140,2012-08-01,2013-03-22,1,1,3
43358,140,2012-08-10,2012-08-14,1,0,4
28804,140,2013-08-19,2014-04-22,1,1,5
55630,140,2013-08-24,2013-10-08,1,0,6
58774,141,2012-03-14,2012-09-30,1,0,6
63556,141,2013-05-24,2014-10-11,1,1,7
46003,141,2013-08-27,2014-06-04,1,0,8
95844,142,2013-07-29,2013-12-18,0,0,1
4984,145,2013-05-30,2013-09-16,0,0,0
8726,146,2012-01-19,2012-03-08,1,0,1
64035,146,2012-05-21,2012-08-29,0,0,2
33689,146,2012-10-21,2012-12-04,1,0,3
11024,146,2013-06-26,2013-12-01,1,0,4
51589,147,2012-11-28,2013-01-19,0,0,3
86710,149,2012-02-01,2013-02-02,0,1,3
37597,149,2012-06-21,2013-05-19,1,0,4
72008,150,2013-03-14,2014-10-18,0,0,2
93551,151,2012-10-05,2013-05-08,0,1,1
27815,151,2012-11-02,2012-11-05,0,0,2
82196,152,2012-08-13,2013-09-02,0,1,5
35058,152,2013-02-05,2013-11-25,1,1,6
58297,152,2013-04-28,2013-08-31,1,0,7
84427,153,2012-04-13,2012-04-26,0,0,2
58807,154,2012-05-04,2012-06-01,0,0,2
25752,155,2012-02-07,2012-09-10,1,0,4
14919,156,2013-02-11,2014-06-11,0,0,0
93213,157,2012-03-10,2013-04-19,1,1,6
3235,157,2012-08-05,2012-09-13,1,0,7
17004,157,2013-05-07,2014-10-31,1,0,8
13304,158,2012-04-22,2013-04-03,1,1,4
40343,158,2012-11-24,2013-08-18,0,1,5
58592,158,2013-05-02,2013-06-18,1,0,6
31592,160,2012-05-13,2012-08-04,0,0,3
46651,160,2013-06-12,2013-07-15,1,0,4
49905,161,2012-11-03,2012-11-15,1,0,2
26653,161,2013-02-19,2013-06-13,0,0,3
12560,163,2012-10-04,2013-09-15,1,0,4
60612,163,2013-10-04,2014-07-31,1,0,5
15269,164,2012-06-19,2013-05-22,1,1,10
17477,164,2012-11-06,2012-11-26,1,0,11
2971,165,2013-06-03,2013-09-29,0,0,2
6775,166,2012-06-15,2013-01-10,1,0,6
616,167,2013-01-29,2013-04-08,0,0,0
87924,167,2013-07-24,2014-07-17,0,0,1
56904,168,2012-11-27,2013-05-14,0,0,1
88453,168,2013-08-28,2014-05-08,0,0,2
1828,170,2012-03-03,2012-03-16,0,0,0
69160,170,2012-12-31,2014-01-19,0,0,1
65424,172,2012-09-17,2012-11-30,0,0,1
40055,172,2013-01-04,2013-12-02,1,1,2
52997,172,2013-04-26,2013-08-10,1,1,3
66861,172,2013-08-02,2013-12-07,0,1,4
67819,172,2013-08-07,2014-11-08,1,0,5
25875,173,2012-07-12,2012-11-25,1,0,4
59283,173,2013-09-26,2014-10-14,1,0,5
39937,175,2012-01-23,2012-04-04,1,1,3
25970,175,2012-03-05,2012-03-23,1,0,4
91463,175,2012-11-07,2014-11-15,1,0,5
91971,176,2013-01-18,2013-07-26,0,1,3
54213,176,2013-07-17,2014-02-26,1,0,4
10723,177,2013-03-08,2013-05-08,0,0,0
38473,177,2013-10-13,2016-01-11,0,0,1
13320,179,2013-01-11,2013-01-26,1,0,2
13598,179,2013-08-05,2015-02-22,0,0,3
40689,180,2012-08-19,2012-10-02,0,0,2
81348,180,2013-01-05,2013-03-30,1,0,3
88009,180,2013-05-02,2013-08-24,0,0,4
82987,181,2013-05-22,2013-12-14,0,0,1
93978,182,2012-08-08,2013-09-22,0,0,6
22317,183,2012-08-26,2013-03-15,0,0,3
29310,186,2012-03-24,2012-09-20,0,0,2
99525,186,2013-02-01,2013-03-23,1,0,3
24448,186,2013-07-17,2013-12-30,1,0,4
83914,187,2013-02-13,2013-09-19,0,0,1
59634,188,2012-03-26,2012-06-25,1,0,1
47761,188,2012-10-16,2013-03-25,0,0,2
8660,189,2012-03-11,2012-10-16,1,0,4
57474,193,2012-06-02,2013-05-06,1,1,4
72771,193,2012-11-10,2013-05-14,0,0,5
73814,196,2012-04-09,2012-12-20,1,1,4
11073,196,2012-10-06,2012-11-07,0,0,5
78817,197,2012-04-02,2012-04-13,0,0,3
56614,200,2012-04-08,2012-08-01,1,0,1
57756,200,2012-11-06,2012-11-28,1,0,2
19317,200,2013-03-21,2014-01-27,0,0,3
61630,201,2012-07-08,2012-12-03,0,1,7
44995,201,2012-10-14,2014-01-23,1,0,8
840,202,2012-09-08,2012-09-24,0,0,2
69869,202,2012-10-31,2013-02-25,1,0,3
88161,202,2013-05-11,2013-08-11,1,0,4
78458,203,2013-05-30,2014-03-21,1,1,4
65991,203,2013-08-01,2013-11-16,1,0,5
28406,207,2013-03-06,2013-04-16,1,0,4
13146,208,2013-08-01,2014-04-01,0,1,3
54687,208,2013-08-10,2014-10-10,1,1,4
77825,208,2013-08-28,2014-06-16,0,0,5
99703,211,2012-05-11,2013-09-07,1,1,3
93895,211,2012-07-10,2012-07-14,1,0,4
83856,212,2013-06-08,2014-03-14,1,1,3
17180,212,2013-06-20,2013-09-25,1,0,4
41278,213,2012-08-22,2012-12-16,0,0,3
40249,214,2012-05-19,2014-06-27,1,1,7
18526,214,2012-06-24,2012-07-19,1,0,8
81637,215,2012-02-24,2012-05-07,0,0,1
53125,215,2012-08-09,2012-08-23,1,0,2
20858,217,2012-07-15,2012-08-07,0,0,1
56763,217,2013-07-05,2013-09-14,0,1,2
86941,217,2013-07-26,2014-10-04,0,0,3
87750,218,2013-09-11,2014-08-13,1,1,4
78851,218,2013-10-08,2014-08-04,1,0,5
80443,219,2012-01-11,2012-02-20,1,0,8
50759,219,2012-03-24,2012-04-10,1,0,9
52083,219,2013-01-20,2013-03-16,1,0,10
22833,220,2012-09-04,2013-09-10,1,1,2
77219,220,2013-05-11,2013-05-31,1,0,3
39081,221,2013-05-19,2013-10-20,1,1,3
46311,221,2013-08-26,2013-12-23,0,0,4
78688,223,2013-06-08,2014-11-19,0,0,1
16284,224,2012-09-24,2012-11-22,1,0,2
85395,225,2012-10-16,2012-11-11,1,0,3
97624,225,2012-11-17,2013-02-25,0,0,4
81849,225,2013-02-27,2014-08-19,0,0,5
78424,226,2012-08-24,2012-09-21,1,0,3
6705,228,2012-02-12,2012-07-27,0,1,7
53480,228,2012-05-29,2012-07-13,1,0,8
48228,228,2013-08-03,2014-03-06,0,1,9
28112,228,2013-08-04,2013-12-07,1,0,10
28444,229,2012-06-21,2013-08-15,0,1,2
82334,229,2013-04-15,2013-09-26,0,1,3
9282,229,2013-09-13,2013-09-14,1,0,4
91026,231,2012-04-20,2013-04-20,1,1,8
65288,231,2012-09-18,2013-03-18,1,0,9
24496,232,2013-03-20,2013-08-30,0,0,3
18701,232,2013-09-20,2014-09-09,1,0,4
835,233,2012-12-07,2013-06-16,0,0,2
73573,234,2012-10-04,2013-12-31,0,0,2
18622,236,2013-09-05,2014-01-20,1,0,5
58009,238,2012-09-14,2012-12-08,1,0,5
91293,238,2013-03-22,2014-05-13,0,0,6
84148,239,2013-08-14,2014-01-28,1,0,2
75908,240,2012-09-07,2013-03-01,0,0,2
21374,241,2013-06-25,2015-02-02,1,0,2
31326,242,2012-05-24,2012-06-27,1,0,3
74104,243,2012-03-04,2013-03-05,0,0,5
55214,243,2013-03-31,2015-06-06,0,0,6
68913,244,2013-03-29,2013-06-04,0,0,4
1769,245,2012-07-23,2012-11-02,0,0,3
90469,245,2013-08-29,2014-11-16,1,0,4
26425,247,2013-02-23,2013-12-08,0,1,4
5976,247,2013-04-07,2013-05-21,0,0,5
63850,249,2012-09-03,2013-04-06,0,0,1
92943,249,2013-05-19,2013-08-05,0,0,2
40725,250,2013-01-22,2014-05-23,0,1,5
32635,250,2013-04-24,2014-01-02,0,1,6
39836,250,2013-05-19,2013-07-17,1,0,7
17056,251,2013-01-07,2013-03-02,0,0,3
30594,253,2012-03-19,2012-05-06,0,0,0
90406,253,2012-06-14,2013-07-24,1,0,1
99862,257,2013-06-06,2013-08-22,1,0,3
87644,259,2012-10-09,2012-10-19,1,0,1
70237,259,2012-12-15,2013-03-17,1,1,2
59016,259,2013-03-15,2013-05-16,1,0,3
38429,260,2012-01-02,2012-03-21,0,0,1
64118,260,2012-07-08,2013-08-10,1,0,2
52307,261,2012-01-23,2013-01-12,0,1,5
29047,261,2012-12-01,2013-04-26,1,1,6
8608,261,2013-02-10,2013-08-22,1,1,7
95915,261,2013-07-08,2013-09-02,1,0,8
60216,262,2013-09-11,2014-02-24,1,0,9
90272,264,2012-02-06,2012-03-13,0,0,5
38866,264,2013-03-17,2013-12-03,0,1,6
60367,264,2013-05-09,2014-06-19,0,0,7
11321,265,2012-01-18,2012-03-29,1,0,1
69327,265,2012-06-08,2014-02-05,0,1,2
10500,265,2013-04-02,2013-06-07,0,0,3
35463,268,2013-03-01,2013-08-07,0,0,3
36262,269,2012-03-19,2013-05-15,1,1,5
22581,269,2012-12-23,2013-03-25,0,0,6
29560,271,2012-05-07,2012-07-15,0,1,5
85643,271,2012-05-31,2012-10-29,0,0,6
43633,271,2013-09-17,2013-10-05,1,0,7
53560,272,2012-12-10,2013-06-05,1,0,4
80109,273,2012-04-03,2012-05-01,1,0,2
646,273,2013-03-25,2013-07-26,0,0,3
49475,273,2013-09-20,2013-11-22,1,0,4
4037,274,2012-08-09,2012-08-11,0,0,4
14400,279,2012-01-20,2012-02-21,0,0,3
94005,280,2012-07-30,2013-10-08,1,0,4
16187,281,2012-12-07,2013-10-22,0,1,3
76365,281,2013-07-03,2014-01-13,0,0,4
82371,282,2012-12-14,2013-12-08,0,1,4
89519,282,2012-12-21,2013-01-04,1,0,5
6047,283,2013-01-16,2014-07-08,0,1,2
40869,283,2013-05-28,2014-10-05,1,1,3
68960,283,2013-06-17,2013-09-08,0,0,4
14338,284,2012-09-06,2013-01-14,0,0,2
30987,284,2013-08-06,2013-10-10,0,0,3
10904,284,2013-10-28,2013-11-20,1,0,4
39390,286,2012-03-14,2012-04-03,0,0,3
2309,286,2012-07-16,2012-07-18,1,0,4
48344,287,2012-09-14,2012-09-27,1,1,5
71720,287,2012-09-21,2013-06-04,0,1,6
18039,287,2012-12-20,2013-01-24,1,0,7
96044,288,2012-01-14,2012-04-05,0,0,4
46563,288,2013-06-04,2014-05-20,1,0,5
47025,291,2012-11-03,2014-08-23,1,1,5
15749,291,2013-01-16,2013-04-07,0,0,6
34007,291,2013-09-01,2014-01-17,1,0,7
96536,292,2012-08-21,2012-11-15,0,0,3
37438,293,2012-12-22,2013-01-27,0,0,5
24558,294,2012-06-04,2012-06-18,0,0,2
97851,294,2013-01-15,2013-05-19,0,0,3
57822,294,2013-07-30,2014-03-02,1,0,4
52711,295,2013-09-21,2014-02-22,1,0,3
31857,296,2012-06-13,2013-01-20,1,1,5
51199,296,2013-01-02,2013-01-08,1,0,6
91314,299,2012-11-11,2014-08-28,1,1,5
35606,299,2013-02-12,2013-10-14,1,0,6
76224,300,2013-04-06,2013-06-24,0,0,2
29814,302,2013-03-24,2013-07-15,0,0,0
94126,303,2012-01-19,2012-02-25,1,0,2
78263,303,2012-04-13,2012-07-20,1,0,3
57312,303,2013-09-02,2013-11-13,1,0,4
49029,304,2012-01-20,2014-09-10,1,0,1
98551,305,2012-01-17,2012-06-26,0,0,3
34189,306,2013-03-31,2014-03-19,1,0,4
36300,307,2012-06-03,2012-07-27,1,0,1
71310,307,2012-09-09,2013-06-10,0,0,2
58675,307,2013-09-04,2013-09-30,1,1,3
14051,307,2013-09-05,2013-11-17,0,0,4
74490,309,2012-08-08,2012-10-28,0,0,1
58147,310,2012-05-03,2012-06-11,1,0,3
99803,311,2012-09-18,2012-10-13,0,0,1
95299,311,2013-02-04,2013-05-28,1,1,2
85972,311,2013-02-21,2013-05-24,1,0,3
44081,311,2013-07-16,2013-10-18,1,0,4
28921,312,2012-05-29,2014-05-19,0,0,7
9046,314,2012-12-22,2014-01-01,0,0,5
55215,315,2013-07-02,2014-02-04,0,1,3
85288,315,2013-08-15,2013-08-22,1,0,4
57833,317,2012-11-03,2012-11-21,1,0,0
76833,318,2012-03-08,2013-01-13,0,1,5
79850,318,2012-09-09,2013-06-01,1,0,6
69004,320,2012-10-12,2013-03-11,1,0,1
98438,321,2013-03-29,2013-09-15,0,1,5
62612,321,2013-06-14,2013-10-16,1,0,6
1783,323,2013-05-13,2013-09-30,0,0,2
51326,324,2013-07-31,2013-11-20,0,0,0
77349,325,2012-03-24,2012-05-21,0,0,1
75694,325,2012-11-15,2013-03-22,1,0,2
45256,325,2013-05-02,2013-09-02,0,0,3
55030,327,2012-04-04,2012-08-24,1,0,2
42734,327,2013-09-07,2013-09-17,0,0,3
99271,329,2012-06-11,2012-10-14,0,0,2
44567,329,2012-11-14,2013-04-10,1,1,3
8097,329,2013-03-02,2013-08-06,1,1,4
49152,329,2013-07-06,2014-02-22,1,0,5
41016,330,2012-09-28,2012-12-20,1,0,2
75402,331,2012-09-01,2015-07-10,0,1,4
66333,331,2013-03-30,2013-05-20,0,1,5
4406,331,2013-05-05,2013-05-06,0,0,6
67534,331,2013-09-19,2014-06-08,1,0,7
62971,332,2013-07-23,2013-08-05,1,0,5
64273,333,2012-11-08,2013-04-16,1,0,5
54553,334,2013-09-01,2013-11-29,0,0,0
89485,335,2012-01-30,2012-05-18,1,0,8
91912,336,2012-07-02,2012-09-25,1,0,1
1606,340,2012-03-27,2012-03-31,0,0,3
53137,341,2012-07-05,2012-07-22,1,0,4
41394,341,2013-01-02,2013-04-30,1,0,5
19473,342,2012-02-24,2012-03-24,0,0,0
90226,342,2013-08-31,2013-10-07,1,0,1
6973,343,2012-02-04,2012-10-06,0,1,3
85024,343,2012-06-12,2012-11-30,0,0,4
67126,344,2013-04-30,2013-10-05,0,0,1
47623,346,2013-06-29,2013-10-10,0,0,1
88694,348,2012-08-08,2013-04-30,0,0,2
52901,348,2013-08-13,2014-06-29,1,0,3
86239,350,2012-09-30,2013-05-18,1,1,7
37628,350,2012-11-10,2013-09-10,1,0,8
31621,351,2012-02-01,2012-03-09,1,0,3
76775,354,2012-01-17,2012-06-29,1,0,3
55481,354,2013-01-19,2013-11-18,1,0,4
8563,355,2013-08-15,2013-12-08,1,0,3
53978,356,2012-05-18,2012-06-07,1,0,4
98337,356,2012-07-31,2012-08-12,0,0,5
67970,356,2013-03-14,2013-04-01,1,0,6
33875,357,2012-10-12,2014-05-09,1,0,2
64084,359,2012-01-05,2013-08-11,0,0,4
74255,359,2013-10-07,2013-11-12,0,0,5
62437,360,2012-08-21,2012-11-05,0,0,1
81280,360,2013-05-18,2015-04-12,0,0,2
48852,361,2012-08-17,2012-08-29,1,0,1
69872,362,2012-06-11,2012-11-17,0,0,1
80835,365,2012-08-10,2013-09-01,0,0,3
41015,367,2012-12-26,2012-12-29,0,0,5
34330,368,2012-08-19,2012-11-28,1,1,3
17609,368,2012-10-25,2013-03-20,0,0,4
42041,369,2012-03-16,2012-03-28,1,0,2
7276,371,2012-02-19,2013-11-07,0,0,2
68127,372,2013-10-21,2014-02-09,0,0,2
47129,373,2012-06-22,2012-12-12,1,1,4
84224,373,2012-11-17,2013-03-26,1,0,5
17086,373,2013-06-30,2013-09-01,1,0,6
22901,374,2013-03-29,2013-08-26,0,1,2
56479,374,2013-06-09,2015-10-02,1,0,3
83210,375,2012-01-17,2012-11-15,0,1,6
95036,375,2012-11-02,2013-02-05,1,0,7
52881,376,2013-04-08,2014-02-24,1,0,0
44268,377,2013-04-18,2013-07-22,0,0,2
20048,379,2012-01-02,2012-06-12,0,0,4
45642,380,2012-04-01,2012-04-25,0,0,4
44198,381,2012-12-27,2013-10-03,0,1,1
98420,381,2013-06-22,2014-02-19,0,0,2
34650,382,2013-03-26,2013-06-08,0,0,1
47086,382,2013-07-12,2016-07-22,1,0,2
57108,383,2013-10-12,2013-10-28,0,0,2
91217,384,2012-01-29,2012-05-25,0,0,1
85555,384,2013-01-02,2013-01-04,1,0,2
8898,385,2012-09-06,2013-03-13,1,0,2
3845,387,2013-04-21,2013-11-02,0,1,2
9602,387,2013-06-02,2013-08-09,1,0,3
79589,388,2013-10-02,2014-06-19,1,0,4
93369,389,2012-03-26,2012-06-20,1,0,2
74171,389,2013-10-03,2015-03-31,0,0,3
4348,390,2013-01-28,2013-03-11,0,0,2
44431,390,2013-08-19,2014-03-19,1,0,3
5698,391,2012-06-23,2013-03-19,1,0,2
16534,393,2013-08-04,2013-08-07,0,0,1
57966,394,2013-04-18,2013-05-14,1,0,2
42534,395,2013-04-03,2014-01-29,0,0,2
25335,397,2012-05-10,2012-05-28,0,0,0
78073,397,2012-12-01,2013-01-16,0,0,1
8160,397,2013-02-23,2013-04-24,0,0,2
2907,399,2012-01-25,2012-09-04,1,0,3
90104,399,2012-12-13,2013-02-12,0,0,4
94452,400,2012-08-11,2013-02-18,1,0,0
12050,400,2013-05-16,2014-08-09,0,1,1
34611,400,2013-10-03,2014-07-20,0,0,2
67265,401,2013-07-12,2013-12-11,1,0,4
71336,402,2012-08-12,2013-02-14,0,1,3
79537,402,2012-09-29,2014-02-22,1,0,4
95766,403,2012-06-03,2012-09-14,1,0,6
2572,403,2013-10-28,2013-12-25,1,0,7
98395,404,2012-12-27,2013-05-08,1,0,1
26178,406,2013-07-27,2014-07-18,1,0,3
21422,407,2012-01-10,2013-04-13,0,0,2
37458,409,2012-04-28,2012-05-18,0,0,1
97376,409,2013-02-23,2014-01-31,0,1,2
18797,409,2013-04-23,2013-05-09,0,0,3
27274,410,2012-03-18,2012-04-14,1,0,1
93469,410,2012-04-25,2013-04-05,0,0,2
88263,411,2013-01-27,2014-03-12,1,1,3
92792,411,2013-05-16,2013-06-03,1,0,4
6556,413,2013-03-02,2013-09-22,1,0,1
58403,415,2012-10-23,2012-11-18,0,0,3
69488,417,2013-08-25,2013-10-16,1,1,4
37549,417,2013-09-26,2014-01-09,1,0,5
80410,418,2013-09-07,2015-06-10,1,0,4
12476,419,2012-08-09,2012-10-11,1,0,5
26776,421,2012-02-23,2012-06-09,1,0,2
24805,421,2013-04-15,2013-08-02,1,0,3
91432,422,2013-10-04,2013-10-28,0,0,1
57248,423,2013-08-18,2014-07-08,1,1,5
9296,423,2013-08-24,2013-12-08,1,0,6
83738,424,2012-12-16,2013-01-08,0,0,5
86567,426,2012-05-16,2012-12-14,0,0,2
12053,427,2012-09-20,2012-10-25,1,0,1
32431,427,2013-02-06,2013-03-22,0,0,2
93818,428,2012-08-17,2012-10-17,0,0,1
59315,430,2012-09-10,2013-03-08,0,0,3
92574,430,2013-08-13,2014-06-29,1,0,4
34236,431,2012-01-12,2012-04-13,0,0,0
56207,432,2013-08-26,2013-10-03,1,0,2
4715,433,2012-03-30,2013-12-11,0,1,3
10514,433,2012-09-29,2013-02-21,1,1,4
99693,433,2012-11-21,2013-11-08,1,0,5
23421,434,2012-05-18,2012-08-18,1,0,2
15355,434,2012-10-29,2013-06-02,0,0,3
97943,434,2013-10-21,2013-12-03,0,0,4
